model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,negpos,positive,3,0.9763815715379095,0.0016721796493638418,150,15000,0.00013653289664025006
Llama-3.2-3B-Instruct,negpos,positive,4,0.9228196203353825,0.004320871111583208,150,15000,0.00035279764892370727
Llama-3.2-3B-Instruct,negpos,positive,5,0.880544037103943,0.00688814389205369,150,15000,0.0005624145936800037
Llama-3.2-3B-Instruct,negpos,positive,6,0.8287312595776001,0.01600452046411236,150,15000,0.0013067636238335565
Llama-3.2-3B-Instruct,negpos,positive,7,0.7888899263374493,0.026831486219196125,150,15000,0.0021907816759183037
Llama-3.2-3B-Instruct,negpos,positive,8,0.7378638287968718,0.03791525622071157,150,15000,0.003095767706920969
Llama-3.2-3B-Instruct,negpos,positive,9,0.7204747856714789,0.041740194264006665,150,15000,0.0034080725903820525
Llama-3.2-3B-Instruct,negpos,positive,10,0.6896979323472352,0.051019364257475934,150,15000,0.004165713647733533
Llama-3.2-3B-Instruct,negpos,positive,11,0.6960303658000817,0.04687138603849183,150,15000,0.0038270326443772132
Llama-3.2-3B-Instruct,negpos,positive,12,0.6308089434367663,0.04424150464571113,150,15000,0.0036123037278321247
Llama-3.2-3B-Instruct,negpos,positive,13,0.6074403005219561,0.044020036374466706,150,15000,0.00359422091920662
Llama-3.2-3B-Instruct,negpos,positive,14,0.6080448768317049,0.03784333712451182,150,15000,0.0030898955373059186
Llama-3.2-3B-Instruct,negpos,positive,15,0.5766537578069769,0.03921672227872781,150,15000,0.0032020319655773435
Llama-3.2-3B-Instruct,negpos,positive,16,0.566961040848332,0.04376887583054765,150,15000,0.0035737137466692343
Llama-3.2-3B-Instruct,negpos,positive,17,0.5830319873202137,0.04590742295838831,150,15000,0.003748325388472705
Llama-3.2-3B-Instruct,negpos,positive,18,0.560199325706475,0.04850710613235581,150,15000,0.003960588630776685
Llama-3.2-3B-Instruct,negpos,positive,19,0.5425425161921199,0.05033368173983716,150,15000,0.004109727904608136
Llama-3.2-3B-Instruct,negpos,positive,20,0.5328157812457255,0.05257924739880452,150,15000,0.004293077572887692
Llama-3.2-3B-Instruct,negpos,positive,21,0.5216049176200647,0.05395787493339528,150,15000,0.00440564203972431
Llama-3.2-3B-Instruct,negpos,positive,22,0.5223672762521872,0.05526773593032494,150,15000,0.0045125917422726754
Llama-3.2-3B-Instruct,negpos,positive,23,0.5051683757054839,0.056998929236513694,150,15000,0.004653943083815483
Llama-3.2-3B-Instruct,negpos,positive,24,0.5404347394801603,0.053258400223951854,150,15000,0.004348530168853713
Llama-3.2-3B-Instruct,negpos,positive,25,0.5897132361430615,0.04585900405353171,150,15000,0.003744372001445937
Llama-3.2-3B-Instruct,negpos,positive,26,0.7175039813300992,0.03329098967433495,150,15000,0.0027181979244794716
Llama-3.2-3B-Instruct,negpos,positive,27,0.788564538019118,0.03076309656570213,150,15000,0.002511796316464526
Llama-3.2-3B-Instruct,posneg,negative,0,0.9983942322237767,0.0002639843796927456,150,15000,2.155423434374534e-05
Llama-3.2-3B-Instruct,posneg,negative,1,0.9975668645205582,0.00025134021535034006,150,15000,2.05218426483191e-05
Llama-3.2-3B-Instruct,posneg,negative,2,0.9956798803652898,0.0002549688723887221,150,15000,2.0818121254838926e-05
Llama-3.2-3B-Instruct,posneg,negative,3,0.9817319151647363,0.0013994812650577136,150,15000,0.00011426716679920319
Llama-3.2-3B-Instruct,posneg,negative,4,0.9323969232555789,0.0035645462164195763,150,15000,0.0002910439798265446
Llama-3.2-3B-Instruct,posneg,negative,5,0.895318852310934,0.004643291398995163,150,15000,0.00037912315515306686
Llama-3.2-3B-Instruct,posneg,negative,6,0.8416946689461406,0.012368753225476054,150,15000,0.001009904471893998
Llama-3.2-3B-Instruct,posneg,negative,7,0.7963943586464871,0.020066911331792194,150,15000,0.0016384564492188168
Llama-3.2-3B-Instruct,posneg,negative,8,0.7456219701992178,0.029657330905369865,150,15000,0.002421510928367668
Llama-3.2-3B-Instruct,posneg,negative,9,0.7169727270637781,0.03192455484657388,150,15000,0.002606628987986724
Llama-3.2-3B-Instruct,posneg,negative,10,0.6811266254774776,0.04017265339645429,150,15000,0.0032800834144999526
Llama-3.2-3B-Instruct,posneg,negative,11,0.693704725437495,0.039060589800823955,150,15000,0.0031892838021393166
Llama-3.2-3B-Instruct,posneg,negative,12,0.6320435624345523,0.036109568104703255,150,15000,0.0029483338896267074
Llama-3.2-3B-Instruct,posneg,negative,13,0.6072755309936722,0.03794711008927968,150,15000,0.003098368564398488
Llama-3.2-3B-Instruct,posneg,negative,14,0.6133118764146923,0.036397674788661176,150,15000,0.0029718577018661143
Llama-3.2-3B-Instruct,posneg,negative,15,0.5840734933412758,0.03971108002090296,150,15000,0.00324239610620146
Llama-3.2-3B-Instruct,posneg,negative,16,0.5768936777433714,0.0458931649152197,150,15000,0.0037471612241229157
Llama-3.2-3B-Instruct,posneg,negative,17,0.5892839323236326,0.04719833129464055,150,15000,0.0038537276127568105
Llama-3.2-3B-Instruct,posneg,negative,18,0.5664341435813609,0.0497445665094165,150,15000,0.004061626847467044
Llama-3.2-3B-Instruct,posneg,negative,19,0.5516585439878534,0.053321709706614394,150,15000,0.0043536993664671396
Llama-3.2-3B-Instruct,posneg,negative,20,0.5423018816204188,0.0553842802045103,150,15000,0.00452210754241258
Llama-3.2-3B-Instruct,posneg,negative,21,0.5294732402710951,0.05602829817774096,150,15000,0.004574691389732464
Llama-3.2-3B-Instruct,posneg,negative,22,0.5277818798226297,0.056409188205612325,150,15000,0.0046057909302791075
Llama-3.2-3B-Instruct,posneg,negative,23,0.5113632474369006,0.056812495719254154,150,15000,0.004638720850874209
Llama-3.2-3B-Instruct,posneg,negative,24,0.5429835361219676,0.05340484140103021,150,15000,0.0043604870408928634
Llama-3.2-3B-Instruct,posneg,negative,25,0.5924616445808168,0.04575112402793029,150,15000,0.0037355636342405415
Llama-3.2-3B-Instruct,posneg,negative,26,0.7170359592480523,0.03470363168017332,150,15000,0.002833539661263663
Llama-3.2-3B-Instruct,posneg,negative,27,0.7863177795548503,0.02978920808233666,150,15000,0.0024322786547772467
Llama-3.2-3B-Instruct,posneg,positive,0,0.9975530057392532,0.00031308312651603243,150,15000,2.5563130234650317e-05
Llama-3.2-3B-Instruct,posneg,positive,1,0.9966982424567641,0.00027519191979126647,150,15000,2.246932616085061e-05
Llama-3.2-3B-Instruct,posneg,positive,2,0.9947184623120694,0.00026563350365580704,150,15000,2.1688884751481906e-05
Llama-3.2-3B-Instruct,posneg,positive,3,0.9765757000804239,0.0016520033111715158,150,15000,0.0001348855055252825
