model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_cos,n_rows
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,22,0.5152166744397935,0.1285619047126222,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,23,0.4971020359109022,0.12835041886589502,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,24,0.542616887139713,0.11661395886276556,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,25,0.5820807364794409,0.10684804053617045,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,26,0.7054784966815295,0.08246782889764943,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,27,0.7829057287527951,0.0622481466662924,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,0,0.9973975586266743,0.0014269406186109305,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,1,0.9965985975735647,0.001369503933136916,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,2,0.9947900891867012,0.0014922459895344502,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,3,0.9776509669355206,0.004929613696271676,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,4,0.92703163341749,0.02364569476702504,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,5,0.876851635362706,0.054426711910736746,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,6,0.8071334211776616,0.10021508622955934,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,7,0.7568742011974686,0.12854454852594038,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,8,0.6929323301507994,0.14415573037916277,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,9,0.6743782043972757,0.15279062913150782,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,10,0.6338194422224485,0.17442896685616158,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,11,0.648200909593768,0.13885463989299332,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,12,0.5923532354834096,0.1480525658218975,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,13,0.6002131662104407,0.14576747322178726,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,14,0.6133839225683745,0.14072705427285592,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,15,0.5858505795876205,0.14879682357954965,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,16,0.5815731916538823,0.1494646001525662,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,17,0.6034855411750456,0.1461150571667971,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,18,0.5760191905456885,0.14915321452847474,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,19,0.5577574835777879,0.15159918233032427,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,20,0.5497082086864817,0.15614227279618903,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,21,0.5468018969789699,0.15746491119839462,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,22,0.549306165698696,0.15676126985155167,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,23,0.5349488828794767,0.15817714698145466,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,24,0.5725483946137149,0.13811695266593071,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,25,0.6106626480576,0.12522347098822503,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,26,0.7302535147815423,0.09179171003695542,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,27,0.8133120514134453,0.06800561956138639,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,0,0.9984918542071157,0.0006002778016910722,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,1,0.9976699701571262,0.0008448048716619968,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,2,0.9958181738781444,0.0012517846205735953,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,3,0.9824727476519055,0.0040896800109299315,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,4,0.9362466297679862,0.02058979804524052,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,5,0.8951518844580874,0.04146522821497384,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,6,0.8247908350762478,0.08469616256349646,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,7,0.7714061349385145,0.11118865490020292,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,8,0.7077021303788094,0.12526966508408563,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,9,0.6761098741005259,0.13681377779489165,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,10,0.6252138526247107,0.15648259992632862,100
