model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_across_rows,n_rows_total
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,24,0.07763370279430815,0.10381081168481938,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,25,0.07903699316043702,0.10850826781367161,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,26,0.07887964441196567,0.11432219709002696,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,27,0.06958266402501137,0.10737126477432832,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,0,0.4165372865977926,0.1858529441273004,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,1,0.3707310588660298,0.15071477893790375,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,2,0.3736720380637816,0.11238036664757685,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,3,0.25683012432027996,0.10645629256435356,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,4,0.10343226372233674,0.1878112531596084,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,5,0.1116445786079679,0.250349134406653,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,6,0.0644069486329942,0.29591109123378123,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,7,0.08108919549872455,0.31679483387366375,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,8,0.09485178406988119,0.3104079614338249,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,9,0.11795910466281806,0.3109063175900485,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,10,0.13008691145787643,0.3211434482369797,100
