model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,18,0.9983389534538141,0.00010183771861801639,50,5000,1.4402028283073382e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,19,0.9987715582106673,7.576798091028583e-05,50,5000,1.0715210619695197e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,20,0.998829608519009,6.500794019281939e-05,50,5000,9.19351106826242e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,21,0.999071390738846,4.724642079066688e-05,50,5000,6.681652905574727e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,22,0.99898780992621,0.00010903686988997231,50,5000,1.542014201971094e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,23,0.999148677177367,8.357909842035686e-05,50,5000,1.181986945169844e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,24,0.9992192155536457,6.207134473672561e-05,50,5000,8.778213756141319e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,25,0.9991632023048033,5.7839568788753e-05,50,5000,8.179750262286606e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,26,0.9990689609601336,5.827132949500451e-05,50,5000,8.240810446934673e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,27,0.9959618934711618,0.00017131374869878751,50,5000,2.4227422683080147e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,0,0.9985320252253821,0.00014055825212107184,50,5000,1.9877938645307665e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,1,0.9983042275704689,0.00016722202160813186,50,5000,2.3648765088566684e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,2,0.9982272500401927,0.00015118136494488016,50,5000,2.1380273668312592e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,3,0.9976194522819667,0.00012660417856307415,50,5000,1.790453463770045e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,4,0.9976689216357922,0.00012210437505231459,50,5000,1.7268166322407427e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,5,0.9977539839120964,0.00016227628721583688,50,5000,2.294933262321882e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,6,0.9979922232361824,0.00012870943471893632,50,5000,1.8202262818489424e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,7,0.9977066825792613,0.00014425441157840733,50,5000,2.0400654528633408e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,8,0.9978349730128687,0.00012374867350356305,50,5000,1.7500705239441893e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,9,0.9975812550300155,0.00014963768569319327,50,5000,2.1161964454943635e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,10,0.9979146834887618,0.0001165397188072107,50,5000,1.6481205089230423e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,11,0.9979616242753936,9.547693368615418e-05,50,5000,1.3502477451275587e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,12,0.998121420824705,8.295586096442677e-05,50,5000,1.1731730365422916e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,13,0.9978044828288811,0.00013698586769469214,50,5000,1.9372727194728005e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,14,0.9977561227436229,0.00019824908351195587,50,5000,2.803665426306443e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,15,0.9977060083612731,0.00022207679440336674,50,5000,3.140640145335827e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,16,0.9979656329991663,0.0002091107036808667,50,5000,2.9572719318286316e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,17,0.9982127923651372,0.0001823391289488399,50,5000,2.57866469110746e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,18,0.9983328797762566,0.00015742536767792117,50,5000,2.226330900316872e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,19,0.9987589636084466,0.0001102909084453424,50,5000,1.5597489852985255e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,20,0.9988104730847391,9.310868288621245e-05,50,5000,1.3167556211237734e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,21,0.9990446137923604,6.552090223672292e-05,50,5000,9.266054856209521e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,22,0.9989339442363656,0.0001408692895177248,50,5000,1.9921925975782848e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,23,0.9991152227039349,0.00011048530880787133,50,5000,1.562498221590712e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,24,0.9992043619001716,8.654974698847264e-05,50,5000,1.2239982601105795e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,25,0.999175296989156,7.624354782856468e-05,50,5000,1.0782465938259791e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,26,0.9990808044651545,8.061292938503495e-05,50,5000,1.1400389803894103e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,27,0.9960563151166367,0.0002469484911784987,50,5000,3.4923790543220544e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,0,0.9984735633917353,5.9770471056138823e-05,50,5000,8.452821079702005e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,1,0.9981958239071693,8.098605370114923e-05,50,5000,1.1453157550724102e-05
