model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__policy_gradualism__policy_radicalism,negpos,negative,0.6908925667771563,0.16981833598620594,28,2800,0.6842037285847885
Llama-3.2-3B-Instruct,ideology,ideology__policy_gradualism__policy_radicalism,negpos,positive,0.6786279422239634,0.1748262353555881,28,2800,0.6842037285847885
Llama-3.2-3B-Instruct,ideology,ideology__policy_gradualism__policy_radicalism,posneg,negative,0.6824674217647128,0.17640027786730086,28,2800,0.6842037285847885
Llama-3.2-3B-Instruct,ideology,ideology__policy_gradualism__policy_radicalism,posneg,positive,0.6848269835733215,0.1709213992659256,28,2800,0.6842037285847885
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_principle__innovation_principle,negpos,negative,0.7114539610551357,0.1593071165697655,28,2800,0.7304429215729098
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_principle__innovation_principle,negpos,positive,0.7371805138431127,0.13906965639170843,28,2800,0.7304429215729098
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_principle__innovation_principle,posneg,negative,0.7065033883376917,0.16389964568636717,28,2800,0.7304429215729098
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_principle__innovation_principle,posneg,positive,0.7666338230556992,0.12052458690813199,28,2800,0.7304429215729098
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_regulation__innovation_deregulation,negpos,negative,0.7419741983101191,0.13742114404185155,28,2800,0.7370488746549528
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_regulation__innovation_deregulation,negpos,positive,0.7225022108097207,0.14566272975464784,28,2800,0.7370488746549528
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_regulation__innovation_deregulation,posneg,negative,0.7272555087325713,0.1483473518002504,28,2800,0.7370488746549528
Llama-3.2-3B-Instruct,ideology,ideology__precautionary_regulation__innovation_deregulation,posneg,positive,0.7564635807674005,0.1250016999861931,28,2800,0.7370488746549528
Llama-3.2-3B-Instruct,ideology,ideology__privacy_priority__surveillance_acceptance,negpos,negative,0.7385819882798169,0.13792840269066622,28,2800,0.7351361445722243
Llama-3.2-3B-Instruct,ideology,ideology__privacy_priority__surveillance_acceptance,negpos,positive,0.7281413846184855,0.14034912454528303,28,2800,0.7351361445722243
Llama-3.2-3B-Instruct,ideology,ideology__privacy_priority__surveillance_acceptance,posneg,negative,0.7414739036247803,0.13495978869105404,28,2800,0.7351361445722243
Llama-3.2-3B-Instruct,ideology,ideology__privacy_priority__surveillance_acceptance,posneg,positive,0.7323473017658145,0.1373039966483123,28,2800,0.7351361445722243
Llama-3.2-3B-Instruct,ideology,ideology__protectionism__free_trade,negpos,negative,0.7185753166734651,0.14845033390295784,28,2800,0.7163010555892422
Llama-3.2-3B-Instruct,ideology,ideology__protectionism__free_trade,negpos,positive,0.7064241522699192,0.15106464425390612,28,2800,0.7163010555892422
Llama-3.2-3B-Instruct,ideology,ideology__protectionism__free_trade,posneg,negative,0.7181640208970873,0.14927116286230357,28,2800,0.7163010555892422
Llama-3.2-3B-Instruct,ideology,ideology__protectionism__free_trade,posneg,positive,0.7220407325164971,0.14314350963411787,28,2800,0.7163010555892422
Llama-3.2-3B-Instruct,ideology,ideology__public_health_priority__economic_activity_priority,negpos,negative,0.7217081323458564,0.14634675414579795,28,2800,0.7081057627901415
Llama-3.2-3B-Instruct,ideology,ideology__public_health_priority__economic_activity_priority,negpos,positive,0.7027937083017796,0.15653650874931546,28,2800,0.7081057627901415
Llama-3.2-3B-Instruct,ideology,ideology__public_health_priority__economic_activity_priority,posneg,negative,0.7088698399907718,0.15498517122758987,28,2800,0.7081057627901415
Llama-3.2-3B-Instruct,ideology,ideology__public_health_priority__economic_activity_priority,posneg,positive,0.6990513705221584,0.1594670996015011,28,2800,0.7081057627901415
Llama-3.2-3B-Instruct,ideology,ideology__public_interest__private_interest,negpos,negative,0.7085650786859948,0.15807081974588905,28,2800,0.7016583675615105
Llama-3.2-3B-Instruct,ideology,ideology__public_interest__private_interest,negpos,positive,0.6974409025022826,0.16182700360313798,28,2800,0.7016583675615105
Llama-3.2-3B-Instruct,ideology,ideology__public_interest__private_interest,posneg,negative,0.6964011072529438,0.166605510576109,28,2800,0.7016583675615105
