model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-3B-Instruct,ideology,negpos,positive,23,0.577704458578872,0.03204407810533908,50,5000,0.004531716985031328
Qwen2.5-3B-Instruct,ideology,negpos,positive,24,0.572279558358971,0.031781144598561226,50,5000,0.004494532571902572
Qwen2.5-3B-Instruct,ideology,negpos,positive,25,0.5704936502166492,0.03188392111612635,50,5000,0.004509067366405979
Qwen2.5-3B-Instruct,ideology,negpos,positive,26,0.566504273444937,0.032891410608856565,50,5000,0.004651547896862725
Qwen2.5-3B-Instruct,ideology,negpos,positive,27,0.5280438719473859,0.03379025542884865,50,5000,0.004778663750352886
Qwen2.5-3B-Instruct,ideology,negpos,positive,28,0.5144995832453935,0.033796990855966644,50,5000,0.00477961628359075
Qwen2.5-3B-Instruct,ideology,negpos,positive,29,0.4827865598845811,0.03446698170892309,50,5000,0.004874367298682443
Qwen2.5-3B-Instruct,ideology,negpos,positive,30,0.4573766784254045,0.033229310553322844,50,5000,0.004699334165281658
Qwen2.5-3B-Instruct,ideology,negpos,positive,31,0.37529794661224614,0.038754071840596975,50,5000,0.005480653399415349
Qwen2.5-3B-Instruct,ideology,negpos,positive,32,0.26066932254044756,0.04094139500393421,50,5000,0.005789987607703784
Qwen2.5-3B-Instruct,ideology,negpos,positive,33,0.23618415261575396,0.037401743310235755,50,5000,0.005289405264573258
Qwen2.5-3B-Instruct,ideology,negpos,positive,34,0.231996400640089,0.03339508060820605,50,5000,0.004722777591266774
Qwen2.5-3B-Instruct,ideology,negpos,positive,35,0.2747208561576359,0.03277518281009088,50,5000,0.004635110803928805
Qwen2.5-3B-Instruct,ideology,posneg,negative,0,0.08596327306667259,0.023585892472795664,50,5000,0.003335548901570112
Qwen2.5-3B-Instruct,ideology,posneg,negative,1,0.05857487090798077,0.030451412622442046,50,5000,0.004306480072407679
Qwen2.5-3B-Instruct,ideology,posneg,negative,2,0.0764624163437134,0.027627358745998986,50,5000,0.003907098543113871
Qwen2.5-3B-Instruct,ideology,posneg,negative,3,0.1370410343696452,0.07149852593707293,50,5000,0.010111418506989303
Qwen2.5-3B-Instruct,ideology,posneg,negative,4,0.17099321712753443,0.051905075408738295,50,5000,0.0073404861599035915
Qwen2.5-3B-Instruct,ideology,posneg,negative,5,0.19164167455704872,0.037166065572736565,50,5000,0.005256075399301182
Qwen2.5-3B-Instruct,ideology,posneg,negative,6,0.23970023303963908,0.03479314982997845,50,5000,0.0049204944367234665
Qwen2.5-3B-Instruct,ideology,posneg,negative,7,0.25923204168598973,0.03738741979241195,50,5000,0.005287379613256526
Qwen2.5-3B-Instruct,ideology,posneg,negative,8,0.2786812118478474,0.03289908147172933,50,5000,0.004652632720693702
Qwen2.5-3B-Instruct,ideology,posneg,negative,9,0.28133332692931123,0.033678682307933534,50,5000,0.004762884928273441
Qwen2.5-3B-Instruct,ideology,posneg,negative,10,0.29431208182353474,0.03352763920800842,50,5000,0.004741524208231744
Qwen2.5-3B-Instruct,ideology,posneg,negative,11,0.3118103803921807,0.033847017141137296,50,5000,0.004786691068687099
Qwen2.5-3B-Instruct,ideology,posneg,negative,12,0.38250877129007577,0.028340164362356417,50,5000,0.00400790448011271
Qwen2.5-3B-Instruct,ideology,posneg,negative,13,0.38157669215846546,0.026814878504310437,50,5000,0.0037921964854182593
Qwen2.5-3B-Instruct,ideology,posneg,negative,14,0.4056577509887343,0.031708213034995235,50,5000,0.0044842184912705614
Qwen2.5-3B-Instruct,ideology,posneg,negative,15,0.45252148946091486,0.028653772145470793,50,5000,0.004052255318127321
Qwen2.5-3B-Instruct,ideology,posneg,negative,16,0.47461112527417454,0.028003612367935835,50,5000,0.00396030884061738
Qwen2.5-3B-Instruct,ideology,posneg,negative,17,0.50985968998128,0.02311591833298708,50,5000,0.0032690845213219195
Qwen2.5-3B-Instruct,ideology,posneg,negative,18,0.5534293604163392,0.022746292315949074,50,5000,0.0032168115086918096
Qwen2.5-3B-Instruct,ideology,posneg,negative,19,0.5884990551666975,0.02259453450991498,50,5000,0.0031953497139428698
Qwen2.5-3B-Instruct,ideology,posneg,negative,20,0.5916062645623029,0.02290474701858531,50,5000,0.003239220387640806
Qwen2.5-3B-Instruct,ideology,posneg,negative,21,0.5839836635404613,0.021029236693654998,50,5000,0.002973983173852084
Qwen2.5-3B-Instruct,ideology,posneg,negative,22,0.5611117668776775,0.021618722998614625,50,5000,0.0030573491265827946
Qwen2.5-3B-Instruct,ideology,posneg,negative,23,0.5703207201094854,0.026329081141300118,50,5000,0.0037234943634848316
Qwen2.5-3B-Instruct,ideology,posneg,negative,24,0.5598156626930738,0.03365384690718107,50,5000,0.00475937267221633
Qwen2.5-3B-Instruct,ideology,posneg,negative,25,0.5588181198021406,0.03278764275153264,50,5000,0.004636872905746136
Qwen2.5-3B-Instruct,ideology,posneg,negative,26,0.5579562380663687,0.03453523112861318,50,5000,0.004884019224177425
Qwen2.5-3B-Instruct,ideology,posneg,negative,27,0.5255793043956782,0.03636872101219988,50,5000,0.0051433138501616425
Qwen2.5-3B-Instruct,ideology,posneg,negative,28,0.518473822284135,0.03663926373523934,50,5000,0.0051815743689740176
Qwen2.5-3B-Instruct,ideology,posneg,negative,29,0.4895689072930313,0.03932251548677208,50,5000,0.005561043470801915
Qwen2.5-3B-Instruct,ideology,posneg,negative,30,0.46740130913937655,0.03705464122670027,50,5000,0.005240317617166874
Qwen2.5-3B-Instruct,ideology,posneg,negative,31,0.3804736982450677,0.04098826568224093,50,5000,0.005796616122597683
Qwen2.5-3B-Instruct,ideology,posneg,negative,32,0.25975762801639246,0.043150981974851205,50,5000,0.006102470393855153
Qwen2.5-3B-Instruct,ideology,posneg,negative,33,0.2215640294452394,0.04570526203708344,50,5000,0.006463700144465955
Qwen2.5-3B-Instruct,ideology,posneg,negative,34,0.2077960778217611,0.03907793955969383,50,5000,0.005526455211491511
Qwen2.5-3B-Instruct,ideology,posneg,negative,35,0.25892310517266975,0.03398126945024295,50,5000,0.0048056772123188105
Qwen2.5-3B-Instruct,ideology,posneg,positive,0,0.03360371757282811,0.02937061198936689,50,5000,0.0041536317810560485
Qwen2.5-3B-Instruct,ideology,posneg,positive,1,0.024832110316626372,0.05499046791864816,50,5000,0.007776826553179481
Qwen2.5-3B-Instruct,ideology,posneg,positive,2,0.03602724041246157,0.04831772424198196,50,5000,0.006833158092601416
Qwen2.5-3B-Instruct,ideology,posneg,positive,3,0.10170271082224604,0.06833902061261501,50,5000,0.009664596978965465
Qwen2.5-3B-Instruct,ideology,posneg,positive,4,0.14266498837416638,0.06176033709539881,50,5000,0.008734230633704716
Qwen2.5-3B-Instruct,ideology,posneg,positive,5,0.16547622874228118,0.04977914537045392,50,5000,0.0070398342506237796
Qwen2.5-3B-Instruct,ideology,posneg,positive,6,0.21681876529135824,0.045086290703682946,50,5000,0.006376164379024441
Qwen2.5-3B-Instruct,ideology,posneg,positive,7,0.2438092102286261,0.04794859289797692,50,5000,0.006780955037302522
Qwen2.5-3B-Instruct,ideology,posneg,positive,8,0.2594379724579814,0.04213046096215442,50,5000,0.005958146928170901
Qwen2.5-3B-Instruct,ideology,posneg,positive,9,0.2586538457182292,0.044041452527212734,50,5000,0.006228401947059507
Qwen2.5-3B-Instruct,ideology,posneg,positive,10,0.27034398667020254,0.04519956044967428,50,5000,0.006392183140123191
Qwen2.5-3B-Instruct,ideology,posneg,positive,11,0.2925787204738932,0.04486403756637438,50,5000,0.006344733038918267
Qwen2.5-3B-Instruct,ideology,posneg,positive,12,0.3631975334071095,0.03705314479356331,50,5000,0.005240105989563126
Qwen2.5-3B-Instruct,ideology,posneg,positive,13,0.3749035703827675,0.037944024159190785,50,5000,0.005366095357693998
Qwen2.5-3B-Instruct,ideology,posneg,positive,14,0.40977034462001194,0.04730672720408413,50,5000,0.006690181520350003
Qwen2.5-3B-Instruct,ideology,posneg,positive,15,0.4515489899331572,0.03887417161725337,50,5000,0.005497638072713895
Qwen2.5-3B-Instruct,ideology,posneg,positive,16,0.4754939709621806,0.03648407623904857,50,5000,0.005159627542791647
Qwen2.5-3B-Instruct,ideology,posneg,positive,17,0.5153234292635713,0.029625662696221817,50,5000,0.0041897013979287565
Qwen2.5-3B-Instruct,ideology,posneg,positive,18,0.5590058084723148,0.02980408244935592,50,5000,0.004214933761396507
Qwen2.5-3B-Instruct,ideology,posneg,positive,19,0.5782426064448368,0.02847633850295913,50,5000,0.004027162411761195
Qwen2.5-3B-Instruct,ideology,posneg,positive,20,0.5851518887724814,0.029034948037930892,50,5000,0.0041061617298039955
Qwen2.5-3B-Instruct,ideology,posneg,positive,21,0.5808854328617324,0.027118256193383143,50,5000,0.0038351005696590623
Qwen2.5-3B-Instruct,ideology,posneg,positive,22,0.5572154203763434,0.026401387832496664,50,5000,0.0037337200738188792
Qwen2.5-3B-Instruct,ideology,posneg,positive,23,0.5804110227765342,0.028882560755785984,50,5000,0.004084610913689744
Qwen2.5-3B-Instruct,ideology,posneg,positive,24,0.5728451711002756,0.028356534241709655,50,5000,0.004010219530652286
Qwen2.5-3B-Instruct,ideology,posneg,positive,25,0.5702719317257049,0.028779413444918585,50,5000,0.004070023681094646
Qwen2.5-3B-Instruct,ideology,posneg,positive,26,0.5643706457603487,0.0308778761368587,50,5000,0.004366791121002213
Qwen2.5-3B-Instruct,ideology,posneg,positive,27,0.5259382066097097,0.03244915736658284,50,5000,0.004589003843540027
Qwen2.5-3B-Instruct,ideology,posneg,positive,28,0.513604498705447,0.03390163628029591,50,5000,0.004794415381423424
Qwen2.5-3B-Instruct,ideology,posneg,positive,29,0.4818096725366028,0.03424833166123243,50,5000,0.004843445512396677
Qwen2.5-3B-Instruct,ideology,posneg,positive,30,0.4559636281588647,0.03268474503574095,50,5000,0.004622320971225154
Qwen2.5-3B-Instruct,ideology,posneg,positive,31,0.3806375365668223,0.03534553985723922,50,5000,0.004998614183550649
Qwen2.5-3B-Instruct,ideology,posneg,positive,32,0.2631534931202493,0.038692339405318806,50,5000,0.005471923114694479
Qwen2.5-3B-Instruct,ideology,posneg,positive,33,0.23595686140283917,0.03617810182668427,50,5000,0.005116356226421173
Qwen2.5-3B-Instruct,ideology,posneg,positive,34,0.23289247199984994,0.0334657227972674,50,5000,0.004732767905451403
Qwen2.5-3B-Instruct,ideology,posneg,positive,35,0.27630642727428933,0.03271581195629133,50,5000,0.004626714497263505
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,0,0.09220551358108871,0.025972280673464812,50,5000,0.003673035157417456
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,1,0.06197009507657875,0.03351881453213312,50,5000,0.004740276210601105
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,2,0.07985820202649126,0.03119253962595706,50,5000,0.004411291258388866
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,3,0.1424937963338947,0.06692594820316862,50,5000,0.009464758362360033
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,4,0.2050776370754628,0.06320951774083453,50,5000,0.008939175726015094
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,5,0.2399226461695089,0.06214496743124545,50,5000,0.00878862557745016
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,6,0.32264310452317646,0.06743258360612481,50,5000,0.009536407428163933
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,7,0.33642389499062486,0.06715153868907366,50,5000,0.009496661674830957
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,8,0.3875711080448543,0.06784422799919684,50,5000,0.009594622736519664
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,9,0.41035293125362576,0.07042373162649,50,5000,0.009959419637910522
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,10,0.4201516616921454,0.07548893789866579,50,5000,0.010675747978543348
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,11,0.40520491089845373,0.07231423301865923,50,5000,0.010226776908759616
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,12,0.5949485805483505,0.04876766220666576,50,5000,0.006896788929789653
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,13,0.5988861002715191,0.052270501512740646,50,5000,0.00739216521513612
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,14,0.6142409890701138,0.0545203177330902,50,5000,0.007710337276302651
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,15,0.6330082630892854,0.05256361664504234,50,5000,0.007433617954679904
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,16,0.6682972300275942,0.04146512874921891,50,5000,0.005864054744269192
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,17,0.7525144165557751,0.03413021259764899,50,5000,0.004826740954227226
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,18,0.7803340510339125,0.03229124943941735,50,5000,0.0045666722903196615
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,19,0.7815041112713347,0.03519814770319043,50,5000,0.004977769785226331
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,20,0.769879829406078,0.03811606723211145,50,5000,0.005390425922397673
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,21,0.7513832840416578,0.042358499261356604,50,5000,0.005990396413718123
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,22,0.7437519969053704,0.04110430144050731,50,5000,0.005813026056903738
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,23,0.6868074955847202,0.06472487006512094,50,5000,0.009153478906893038
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,24,0.6671679286560414,0.08125313441684924,50,5000,0.01149092846776323
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,25,0.6854075725829532,0.07630188501583826,50,5000,0.01079071606240309
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,26,0.6654786720946949,0.07996950000078258,50,5000,0.011309395147730196
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,27,0.6623217499336735,0.07740438668781087,50,5000,0.010946633344107358
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,28,0.6594918979659091,0.07975164225417404,50,5000,0.011278585409738012
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,29,0.6519405495693864,0.08300101067019887,50,5000,0.011738115498046922
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,30,0.6381120869578193,0.08546635043314192,50,5000,0.012086767190908095
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,31,0.5770030988430919,0.08778387754701993,50,5000,0.01241451501846946
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,32,0.4299793456684403,0.0798882067078936,50,5000,0.011297898539996838
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,33,0.335224101296147,0.07244172709170273,50,5000,0.010244807293481645
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,34,0.3258007883805967,0.06645242385252696,50,5000,0.009397791906480898
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,35,0.35794378219142103,0.06785329532675735,50,5000,0.009595905050280719
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,0,0.06289439965130772,0.022447896044661242,50,5000,0.0031746119033101284
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,1,0.017741726665408176,0.03712021716124496,50,5000,0.005249591454766713
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,2,0.028197663037137492,0.03560564303277706,50,5000,0.005035398327396841
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,3,0.06742931827705634,0.05931809234438782,50,5000,0.008388845068753292
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,4,0.1038822727406905,0.06469884921550487,50,5000,0.009149799003049887
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,5,0.12062726213432746,0.06332864810605651,50,5000,0.008956023303833834
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,6,0.1912085064922594,0.06966637450314646,50,5000,0.009852313166371291
