model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,negpos,negative,25,0.4429916368312206,0.07422971392860475,150,15000,0.006060830762594898
Qwen2.5-1.5B-Instruct,negpos,negative,26,0.4352683133388981,0.07695830350572044,150,15000,0.006283619168641897
Qwen2.5-1.5B-Instruct,negpos,negative,27,0.3143505040734745,0.09627403222867237,150,15000,0.007860741814683669
Qwen2.5-1.5B-Instruct,negpos,positive,0,0.0450720908818742,0.09238092458623376,150,15000,0.007542870906760197
Qwen2.5-1.5B-Instruct,negpos,positive,1,0.09526526479577287,0.07969039882963473,150,15000,0.006506693817716362
Qwen2.5-1.5B-Instruct,negpos,positive,2,0.10643454540955223,0.0801349151042308,150,15000,0.0065429884195538045
Qwen2.5-1.5B-Instruct,negpos,positive,3,0.11317495318735643,0.06320290341976724,150,15000,0.0051604954546945235
Qwen2.5-1.5B-Instruct,negpos,positive,4,0.10909934840089629,0.06549966611518933,150,15000,0.005348025343495972
Qwen2.5-1.5B-Instruct,negpos,positive,5,0.1599375745341907,0.07705247511884439,150,15000,0.006291308248655513
Qwen2.5-1.5B-Instruct,negpos,positive,6,0.19190051864861135,0.07983630962387107,150,15000,0.006518607384177804
Qwen2.5-1.5B-Instruct,negpos,positive,7,0.22421246898128003,0.07938156969938938,150,15000,0.006481478024822741
Qwen2.5-1.5B-Instruct,negpos,positive,8,0.23178386079420307,0.07451466914058565,150,15000,0.006084097258224892
Qwen2.5-1.5B-Instruct,negpos,positive,9,0.2505400471283946,0.07408918827055848,150,15000,0.006049356890662158
Qwen2.5-1.5B-Instruct,negpos,positive,10,0.309103804001824,0.06694187426044354,150,15000,0.00546578114545459
Qwen2.5-1.5B-Instruct,negpos,positive,11,0.37180111150896744,0.08469940662759093,150,15000,0.006915677591803517
Qwen2.5-1.5B-Instruct,negpos,positive,12,0.40179906307492297,0.07936721729016653,150,15000,0.0064803061555168875
Qwen2.5-1.5B-Instruct,negpos,positive,13,0.5135462786544807,0.0658301537945461,150,15000,0.005375009549519326
Qwen2.5-1.5B-Instruct,negpos,positive,14,0.5066255175403335,0.07308056532352696,150,15000,0.00596700317189251
Qwen2.5-1.5B-Instruct,negpos,positive,15,0.5116016712070321,0.0665115817589377,150,15000,0.005430647909826755
Qwen2.5-1.5B-Instruct,negpos,positive,16,0.525537734909731,0.06504406937735518,150,15000,0.005310826025623631
Qwen2.5-1.5B-Instruct,negpos,positive,17,0.49348760426188076,0.0733400283456508,150,15000,0.005988188238936639
Qwen2.5-1.5B-Instruct,negpos,positive,18,0.4924580710030937,0.06422628593811888,150,15000,0.005244054287416056
Qwen2.5-1.5B-Instruct,negpos,positive,19,0.47832603253219913,0.06444099951534275,150,15000,0.005261585577584261
Qwen2.5-1.5B-Instruct,negpos,positive,20,0.4644451869733952,0.06570852321235951,150,15000,0.005365078454070167
Qwen2.5-1.5B-Instruct,negpos,positive,21,0.4459178944191479,0.06963989109454255,150,15000,0.005686073297487319
Qwen2.5-1.5B-Instruct,negpos,positive,22,0.4011513777849234,0.0851743320688323,150,15000,0.006954455091700435
Qwen2.5-1.5B-Instruct,negpos,positive,23,0.3944446562210882,0.08877145659443321,150,15000,0.007248159079332876
Qwen2.5-1.5B-Instruct,negpos,positive,24,0.38028747556267384,0.08628872906490036,150,15000,0.007045445225409004
Qwen2.5-1.5B-Instruct,negpos,positive,25,0.3718006321807945,0.08217993704120684,150,15000,0.006709963761500117
Qwen2.5-1.5B-Instruct,negpos,positive,26,0.3659509362831091,0.08068891405206052,150,15000,0.006588222244227857
Qwen2.5-1.5B-Instruct,negpos,positive,27,0.23020684191036192,0.08319441807479551,150,15000,0.0067927957910342346
Qwen2.5-1.5B-Instruct,posneg,negative,0,0.09677503706474108,0.10671234263867871,150,15000,0.008713026290726917
Qwen2.5-1.5B-Instruct,posneg,negative,1,0.1514578002197543,0.09309163219721074,150,15000,0.007600899940200399
